Species,IUCN.Red.List.Status,iucn_2cat,Order,Family,Genus,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Development,migrations_reported,dispersal_dist_max_m,home_range_max_m2,breeding_habitat,breeding_habitat_2cat,incubation_period_min_d,incubation_period_max_d,larval_period_min_d,larval_period_max_d,larval_period_4cat,neoteny,dessication_avoidance_reported,inactive_during_cold_reported,pi_cytb_5up,Slope_Max,Slope_Min,Slope_Mean,Slope_SD,Alt_Max,Alt_Min,Alt_Average,Alt_SD,Bio1_Max,Bio1_Min,Bio1_Average,Bio1_SD,Bio10_Max,Bio10_Min,Bio10_Average,Bio10_SD,Bio11_Max,Bio11_Min,Bio11_Average,Bio11_SD,Bio12_Max,Bio12_Min,Bio12_Average,Bio12_SD,Bio13_Max,Bio13_Min,Bio13_Average,Bio13_SD,Bio14_Max,Bio14_Min,Bio14_Average,Bio14_SD,Bio15_Max,Bio15_Min,Bio15_Average,Bio15_SD,Bio16_Max,Bio16_Min,Bio16_Average,Bio16_SD,Bio17_Max,Bio17_Min,Bio17_Average,Bio17_SD,Bio18_Max,Bio18_Min,Bio18_Average,Bio18_SD,Bio19_Max,Bio19_Min,Bio19_Average,Bio19_SD,Bio2_Max,Bio2_Min,Bio2_Average,Bio2_SD,Bio3_Max,Bio3_Min,Bio3_Average,Bio3_SD,Bio4_Max,Bio4_Min,Bio4_Average,Bio4_SD,Bio5_Max,Bio5_Min,Bio5_Average,Bio5_SD,Bio6_Max,Bio6_Min,Bio6_Average,Bio6_SD,Bio7_Max,Bio7_Min,Bio7_Average,Bio7_SD,Bio8_Max,Bio8_Min,Bio8_Average,Bio8_SD,Bio9_Max,Bio9_Min,Bio9_Average,Bio9_SD,Total_Area,Lat_min,Lat_max,GBIF_occurrences,gbif_corrected,gbif_thinned,subsampPREthin,SDM_dataset,cytb5up,Lat_Extent,Lat_Midpoint,Elev_Extent,Elev_Midpoint,Slope_Range,gene,n_ind,n_bp,pi,FST_msat,AR_msat,median_pi_n5,overall_pi,hdi.lower95,cur.area.95,lgm.area.95,overlap.area.95,overlap.index.95,rel.range.size.95,hdi.lower99,cur.area.99,lgm.area.99,overlap.area.99,overlap.index.99,rel.range.size.99
Plethodon sherando,Vulnerable (VU),nonLC,Caudata,Plethodontidae,Plethodon,NA,NA,100,NA,NA,NA,1,NA,NA,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,no,no,1,0.035120711,0.024392372,0.029756541,0.007586081,910,862,886,33.9411255,97,95,96,1.414213562,195,193,194,1.414213562,-7,-10,-8.5,2.121320344,1232,1214,1223,12.72792206,121,119,120,1.414213562,85,83,84,1.414213562,11,11,11,0,339,333,336,4.242640687,263,259,261,2.828427125,314,310,312,2.828427125,263,259,261,2.828427125,120,118,119,1.414213562,35,35,35,0,7830,7824,7827,4.242640687,265,262,263.5,2.121320344,-73,-74,-73.5,0.707106781,338,336,337,1.414213562,106,104,105,1.414213562,-7,-10,-8.5,2.121320344,36.3493022,37.90877033,37.96651187,57,11,2,NA,corrected,1,0.05774154,37.9376411,48,886,0.010728339,CYTB,15,684,0.000644122,NA,NA,0.000955796,0.000644122,715.5999756,196,0,0,0,NA,715.5999756,196,0,0,0,NA
Plethodon shermani,Vulnerable (VU),nonLC,Caudata,Plethodontidae,Plethodon,3,5,170,10,3,10,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,no,yes,1,0.074411355,0.006606524,0.037119805,0.017591865,1430,650,996.9107143,210.7509756,127,90,110.1428571,9.703661111,214,178,197.2678571,9.767275737,35,-6,16.375,9.971892316,1997,1518,1771.053571,119.4287037,203,161,184.2142857,10.36026375,140,96,117.0892857,10.90834007,13,9,10.76785714,1.044310498,548,433,498.2142857,27.83047008,452,327,389.1785714,31.24688036,488,373,429.5178571,29.69358123,519,406,471.25,27.3125013,145,115,131.3928571,8.035554111,43,36,40.26785714,1.731957079,7298,6859,7006.303571,109.2082114,289,241,266.25,13.17332014,-43,-71,-55.85714286,6.380164066,336,308,322.1071429,7.655487803,49,8,30.28571429,10.1403143,175,124,152.625,13.85714453,999.3226922,35.00089399,35.35813961,4569,173,15,NA,corrected,1,0.35724562,35.1795168,780,1040,0.067804831,CYTB,5,649,0.060400616,0.313454167,2.590916667,0.056702619,0.060400616,995.7999878,0,0,0,NA,NA,655.2000122,742,2911,80,0.107816712,2.923180593
Plethodon stormi,Endangered (EN),nonLC,Caudata,Plethodontidae,Plethodon,NA,NA,140,NA,2,18,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.108311579,0.003051205,0.048780637,0.021563041,1742,566,1097.923077,300.6983504,112,49,83.59230769,16.69502834,194,121,162.4692308,19.46939099,39,-14,14.00769231,12.68674224,1180,627,852.3923077,130.9342397,203,113,153.5076923,21.53282915,12,7,8.4,1.145263248,78,63,69.47692308,2.875222633,574,305,426.8,64.55793624,67,39,48.47692308,6.359044568,74,39,50.64615385,8.898097992,547,275,392.9615385,60.36033965,171,128,152.9076923,10.31101327,48,45,47.12307692,0.693439742,6519,5222,5921.730769,308.4414381,323,217,278.0923077,27.25715784,-15,-67,-42.99230769,11.86519642,356,275,321.0846154,19.01979166,41,-8,17.72307692,11.89945956,194,118,162.0615385,20.0436554,2114.233948,41.62397543,42.2418342,126,21,5,NA,corrected,1,0.61785877,41.93290482,1176,1154,0.105260374,CYTB,37,408,0.018205121,NA,NA,0.020231214,0.018205121,800.5999756,249,58,0,0,-3.293103448,330.6000061,3028,4320,687,0.226882431,0.42668428
Plethodon vandykei,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,NA,NA,123,NA,7,14,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.208535731,0.000259831,0.033471124,0.025241466,3691,1,606.4548263,466.3358362,107,-71,76.2030888,21.3847435,172,5,140.9305019,17.91517332,61,-126,19.1976834,23.88657175,3335,1137,2362.573745,492.6756057,553,166,379.0478764,80.91927891,68,16,41.28185328,11.88260855,72,40,60.47104247,3.794026878,1509,489,1088.258687,220.167009,235,82,171.9250965,33.85439929,290,88,192.7915058,44.94664282,1447,443,1018.622394,216.2994846,116,73,96.94826255,9.015079827,49,31,41.31969112,3.657015434,6337,3341,4845.989961,564.6516707,260,60,214.4223938,23.30265805,20,-165,-18.25637066,22.57087215,296,176,232.6787645,20.92675764,66,-109,23.34980695,23.50600136,172,-4,138.9752896,18.90636672,18974.85498,45.7612892,48.16976861,139,50,28,NA,thinned,1,2.40847941,46.96552891,3690,1846,0.2082759,CYTB,8,694,0.007638889,NA,NA,0.005555556,0.007638889,830,2396,123,0,0,-18.4796748,707.2,3053,327,0,0,-8.336391437
Plethodon vehiculum,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,2.75,2.75,115,11.1,4,19,1,4,5,direct,no,8.5,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.208535731,4.93E-05,0.033969835,0.027883834,3691,0,539.2617562,452.5878716,124,-71,79.14406258,25.05906679,193,5,144.7225982,21.79384639,81,-126,19.92124462,31.22094632,3345,418,1799.790454,572.8226285,556,60,283.5981366,90.73487516,78,7,37.32398699,16.68164881,75,27,57.40168762,8.433836393,1512,166,813.3080777,259.4622233,290,44,148.0690868,51.03923653,356,46,161.5487387,61.27673017,1455,152,750.6089479,248.260879,148,48,95.46013888,18.3017905,55,28,40.06811989,5.182484015,8323,2685,4961.602444,863.233695,296,60,217.3050892,32.29945161,39,-165,-18.58460051,32.50552915,368,138,235.8896897,37.29281085,86,-109,24.51938121,30.82086071,192,-4,143.04931,22.95488631,166117.4879,42.6665674,50.87870026,2633,897,268,NA,thinned,1,8.21213286,46.77263383,3691,1845.5,0.208486431,CYTB,7,783,0.013852814,NA,NA,0.012027972,0.013852814,701,10241,340,78,0.007616444,-29.12058824,434.8,12884,2928,1260,0.097795716,-3.400273224
Plethodon ventralis,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,NA,NA,120,NA,NA,NA,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.080242522,0.000128744,0.013426126,0.013952604,1512,90,479.835851,283.0447186,169,84,136.4310171,18.30739772,259,170,229.7411883,19.71384209,73,-8,37.17321249,17.38812765,2043,1087,1371.496475,169.6352653,205,110,145.8600201,20.09286763,154,66,88.22960725,15.29764008,21,7,14.3836858,3.96593556,541,308,392.979859,48.39304383,480,223,284.4128902,45.43342696,505,289,334.8841893,41.55684605,514,247,354.715005,62.80431034,138,110,131.776435,3.513850558,41,36,38.95568983,1.082322376,7883,6844,7457.947633,274.9109043,330,229,300.6505539,20.55175759,1,-73,-33.63645519,16.67495709,351,302,334.2870091,8.071330337,224,18,138.203424,58.61336985,221,-8,147.1973817,65.85551537,17275.36335,32.91586861,36.92943803,1029,108,51,NA,thinned,1,4.01356942,34.92265332,1422,801,0.080113778,CYTB,10,663,0.016383442,NA,NA,0.017254902,0.016383442,643.2,5548,0,0,0,NA,471,7644,1210,0,0,-5.317355372
Plethodon websteri,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,NA,NA,82,NA,3,8,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,30,150,0,0,none,no,yes,no,1,0.037999056,8.41E-05,0.003215491,0.002734484,534,14,138.8803354,78.74026383,191,136,170.3277439,11.12597137,272,230,258.6935976,7.0440927,104,36,75.80030488,14.91715439,1593,1175,1372.503049,114.6998869,170,120,148.9085366,13.46762155,93,56,78.55487805,7.359673698,23,12,18.55564024,2.956581078,456,343,408.4504573,32.75965663,325,217,259.0403963,25.19881069,395,275,316.652439,26.34815762,456,309,391.0045732,41.78144045,141,122,131.7804878,5.285645435,43,38,40.30945122,1.260913549,7826,6388,7103.730945,338.2351783,339,299,327.6295732,5.641324355,34,-34,4.37804878,14.96307399,351,296,323.2515244,12.33529156,258,51,108.9839939,34.36123736,239,114,202.7705793,29.72908369,23302.23846,30.65272921,34.9980885,1356,75,40,NA,thinned,1,4.34535929,32.82540886,520,274,0.037914956,CYTB,20,810,0.022219576,NA,NA,0.011861614,0.022219576,668.6,10082,1777,402,0.039873041,-4.673607203,425.8,20679,19194,14991,0.724938343,-0.077367927
Plethodon wehrlei,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,NA,NA,168,NA,7,24,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.078441635,4.36E-05,0.010674046,0.009342427,1298,165,519.3954859,200.9303104,143,60,94.21060955,18.21779909,241,164,198.7686889,15.68484009,41,-61,-18.89246694,22.70680679,1560,726,1104.740943,119.7910493,160,90,117.0830937,11.17615293,112,34,70.84071305,11.62828,32,8,14.94565842,3.253521211,436,258,326.3898792,27.77567179,348,106,227.9913744,36.17016156,427,246,319.9792984,28.81667437,378,106,231.0665612,39.86148227,140,105,124.590138,6.59678247,40,29,34.33438758,2.406682958,9068,7211,8416.227717,437.6016646,312,230,274.6953709,15.5395069,-27,-123,-83.55405405,19.65993666,378,320,358.249425,11.51454085,228,88,182.1853076,18.93562494,192,-54,-5.710753306,46.46325053,114481.8272,36.1775487,42.53909736,1156,230,111,NA,thinned,1,6.36154866,39.35832303,1133,731.5,0.078398035,CYTB,57,1137,0.025121953,NA,NA,0.034259814,0.025121953,615.6,9762,1202,0,0,-7.121464226,183.8,19268,30967,121,0.006279842,0.607172514
Pseudacris crucifer,Least Concern (LC),LC,Anura,Hylidae,Pseudacris,2,4,37,5,700,1000,1,1.08,1.48,larval,yes,40,NA,ephemeral,aquatic,6,15,45,90,short,no,yes,yes,1,0.102965139,0,0.004753936,0.006275454,1670,-14,261.3488208,163.5031865,222,-53,77.7844309,66.85149153,287,101,197.9438799,45.43558497,162,-224,-55.12561969,94.53248322,2043,416,1019.085684,239.4636937,222,58,116.7136847,23.99119721,154,10,54.55757328,21.60632144,64,6,24.69524976,11.61489953,602,169,326.4514213,62.16610016,480,37,184.2475249,68.51572869,602,169,300.5826943,54.68631034,523,37,212.1979568,96.47608044,150,59,117.8526658,12.12392628,51,19,29.87703302,6.581757479,14045,4303,9802.017141,2047.72583,362,161,272.0701048,43.72868566,99,-295,-127.5205911,98.86630524,519,223,399.5906959,62.04899317,278,-65,155.8682776,60.54669017,287,-213,-0.241291711,123.4067178,4302856.563,28.3052426,54.47491382,18275,6225,2665,NA,thinned,1,26.16967122,41.39007821,1684,828,0.102965139,CYTB,74,724,0.034706846,NA,NA,0.037586207,0.034706846,458,189174,66388,46020,0.243268102,-1.849520998,241.2,264335,99127,70423,0.266415722,-1.666629677
Pseudacris illinoensis,Least Concern (LC) - Provisional,LC,Anura,Hylidae,Pseudacris,1,2,48,5,148,1012,NA,1.9,2.6,larval,yes,900,NA,ephemeral,aquatic,5,5,60,60,short,no,yes,no,1,0.011409969,4.34E-19,0.002127955,0.001974991,275,71,135.2879222,43.09493087,154,103,131.6817401,13.95568686,261,226,245.7406983,9.737315488,36,-35,6.558672009,20.20256434,1275,911,1104.364053,128.9741942,135,97,118.4590727,12.68676791,80,37,61.75958786,15.66778213,28,15,19.55466514,4.052174722,390,287,340.7916428,37.09649778,267,137,215.5088724,48.0366568,296,255,276.0188895,10.40635921,321,137,232.7664568,63.38886476,147,112,121.2781912,6.750707361,37,28,31.30280481,1.834319675,10185,8564,9221.443618,445.673183,333,300,320.0549513,9.86433533,-28,-101,-61.95077275,19.80144519,409,355,382.0057241,11.21603803,230,124,166.1602748,33.72356733,261,-35,101.0360618,108.9643392,29551.18346,35.99499696,40.74896147,37,14,8,NA,corrected,1,4.75396451,38.37197922,204,173,0.011409969,CYTB,16,648,0.001494075,0.182510526,2.946923077,0.001236476,0.001494075,692,1183,0,0,0,NA,692,1183,0,0,0,NA
Pseudacris ornata,Least Concern (LC),LC,Anura,Hylidae,Pseudacris,NA,NA,40,3,55,1000,1,0.9,1,larval,yes,NA,100,ephemeral,aquatic,7,7,90,120,mid,no,yes,no,1,0.009873793,0,0.001645642,0.001319662,301,-14,60.00581456,45.26400017,222,152,184.35956,13.25125606,274,245,263.4897328,5.589960203,162,52,98.41016239,20.85866972,1668,616,1328.935149,138.6301081,221,92,160.9102672,21.71257638,94,23,66.37611315,10.23040018,52,15,25.66511262,7.592439618,596,236,442.9687795,57.95798433,337,103,238.3311682,38.26590997,589,236,425.8379256,68.05177503,470,163,324.2346255,60.78588043,143,90,128.5527501,8.327165345,51,34,42.17642745,2.707430384,7501,4303,6437.160136,608.0693354,339,306,327.9666317,5.533981737,99,-18,26.04059717,21.19189017,336,223,301.9260346,20.36562897,274,78,217.752593,71.74709604,233,108,164.4879518,28.49150802,347129.3117,28.3052426,36.06828596,506,242,123,NA,thinned,1,7.76304336,32.18676428,315,143.5,0.009873793,CYTB,81,683,0.023486709,0.134733333,NA,0.022128247,0.023486709,667,13397,774,0,0,-16.30878553,580,15557,1361,0,0,-10.43056576
Pseudacris streckeri,Least Concern (LC),LC,Anura,Hylidae,Pseudacris,1,2,48,5,200,450,1,1.4,1.4,larval,yes,900,NA,ephemeral,aquatic,5,5,60,60,short,no,yes,no,1,0.04031703,0,0.003256929,0.002852428,774,1,238.7261529,169.5696022,235,133,178.7533225,21.68533075,299,236,272.655505,8.930414465,165,7,76.76855547,34.0476779,1493,510,931.2459836,218.3835591,197,69,123.884937,18.85401328,99,11,43.75738228,18.73201695,60,13,31.84891912,10.19058139,464,175,307.0093688,51.15300107,324,49,157.7368403,63.15228354,428,134,232.3193379,47.28140218,394,49,169.7766404,78.59212487,160,79,130.5303793,10.61545939,44,31,37.30285575,2.754643113,9721,4797,7585.628821,1043.01609,371,308,347.2497311,8.248247038,107,-77,0.087338214,37.94727119,430,224,347.1623929,38.01418531,284,81,221.6643534,28.99267504,287,7,118.1666262,83.78862796,520272.6563,25.83554813,37.47157491,1102,409,175,NA,thinned,1,11.63602678,31.65356152,773,387.5,0.04031703,CYTB,17,683,0.047992433,0.20172,3.412,0.036419753,0.047992433,565.8,18251,314,259,0.014191003,-57.12420382,376,23388,1090,876,0.037455105,-20.45688073
Pseudobranchus axanthus,Least Concern (LC),LC,Caudata,Sirenidae,Pseudobranchus,2,2,251,NA,NA,NA,1,3,3,larval,no,NA,NA,permanent,aquatic,NA,NA,NA,NA,long,yes,yes,yes,1,0.003759733,0,0.000627468,0.000577135,70,-2,18.27844255,12.52884061,244,199,221.617094,10.10984561,280,265,272.1946819,2.744345219,203,124,163.1259259,18.53528791,1556,887,1303.662488,74.07335255,276,133,202.8003799,22.85685101,63,33,47.38917379,7.658353393,69,36,50.81215575,8.42699768,672,357,559.151377,46.84410857,208,122,167.0136752,23.60959946,660,357,540.4816714,40.94022368,278,123,189.5933523,40.17333352,138,68,116.5965812,11.23007471,54,39,49.61785375,3.152504244,5733,3021,4297.652802,648.1640663,335,310,328.1990503,3.630319053,159,48,94.86134853,22.48725063,284,154,233.3377018,24.0878725,278,257,271.3080722,2.596990416,203,137,179.0391263,12.73667982,99563.70796,24.94721466,30.58647894,438,95,53,NA,thinned,1,5.63926428,27.7668468,72,34,0.003759733,CYTB,60,1141,0.025337586,NA,NA,0.029929399,0.025337586,790.6,3595,0,0,0,NA,679.8,4040,50,0,0,-79.8
Pseudobranchus striatus,Least Concern (LC),LC,Caudata,Sirenidae,Pseudobranchus,2,2,220,NA,NA,NA,1,NA,NA,larval,no,NA,NA,permanent,aquatic,NA,NA,NA,NA,long,yes,yes,yes,1,0.005963288,0,0.000977439,0.000763039,131,-14,36.21954674,24.89437137,218,172,192.644653,9.37274682,274,257,266.6161473,2.872652986,157,79,111.5265581,15.77972832,1605,616,1311.854108,102.3182099,222,92,170.8633144,20.35999925,91,23,60.95077904,8.98985435,50,20,31.07418555,7.161422885,602,236,472.0322238,54.55191222,306,103,219.5745397,28.25677444,602,236,469.3645538,54.67187306,390,163,293.4633499,43.1977969,138,94,127.6543909,8.549871106,51,34,43.42669972,3.064262252,7000,4484,6061.897663,511.526527,339,315,329.8215297,4.023309584,94,5,38.53930595,15.82987558,326,225,291.2822238,16.70599175,273,109,259.7230878,30.57769994,213,127,159.6558074,18.83695945,102698.0426,28.43299092,33.89075151,985,127,72,NA,thinned,1,5.45776059,31.16187122,145,58.5,0.005963288,CYTB,107,786,0.077368532,NA,NA,0.092322939,0.077368532,650.6,5179,0,0,0,NA,551,5827,0,0,0,NA
Pseudotriton ruber,Least Concern (LC),LC,Caudata,Plethodontidae,Pseudotriton,4,5,181,20.1,29,130,1,4,4.2,larval,yes,NA,NA,permanent,aquatic,60,90,547.5,1277.5,long,no,no,yes,1,0.102965139,0,0.006376055,0.008188746,1670,-8,266.7116697,216.6215105,202,42,134.7010039,35.03207148,274,153,232.1715525,26.20961657,126,-90,30.24953819,45.45688369,2043,726,1241.801124,186.4133149,221,90,133.1335636,24.64164809,154,34,75.17021926,11.2107926,38,7,16.00636093,4.262161559,596,248,367.0879929,60.66161654,480,106,250.1232833,37.70028359,589,235,330.659433,48.60341273,523,106,304.562493,80.43526663,148,90,127.3365513,8.703189274,47,25,36.93745081,4.018211253,10556,5700,7820.556662,832.3972096,340,216,303.8160308,23.54512595,65,-163,-38.33820577,42.01797818,413,254,342.1542366,22.91075944,272,8,167.4822103,59.91376151,238,-79,103.2320777,96.28580541,1068841.543,29.66213936,45.00586753,6181,2196,974,NA,thinned,1,15.34372817,37.33400345,1678,831,0.102965139,CYTB,78,1145,0.022223336,NA,NA,0.024567474,0.022223336,688.6,47108,2965,107,0.002271376,-14.88802698,415.6,73738,6549,1891,0.025644851,-10.25942892
Rana aurora,Least Concern (LC),LC,Anura,Ranidae,Rana,2,3,133,15,800,2650,1,3.6,3.6,larval,yes,24000,NA,generalist_aquatic,aquatic,30,45,107,143,mid,no,no,yes,1,0.219770327,4.93E-05,0.03686306,0.030062598,3691,-1,578.2967534,452.4499989,132,-71,79.70760665,26.05656192,205,5,144.8664475,24.07771386,92,-126,21.22041857,30.68604636,3546,499,1698.753354,566.0952573,556,74,267.244835,88.83941899,119,3,35.46183257,20.78336913,85,33,58.04507647,10.66636597,1512,210,766.4423129,254.242187,438,19,139.5990072,63.26352732,559,32,153.2077408,75.0586585,1455,191,705.3266032,242.9641896,171,44,99.08773813,24.08861633,60,26,40.89334585,6.122968008,7329,2015,4922.163738,825.3188802,326,60,219.7960826,38.30767332,51,-165,-18.81506574,32.18100008,358,132,238.6111484,41.50356903,96,-109,27.35028173,29.96171259,205,-4,143.5759324,24.34270569,218209.3063,39.2631838,52.57508443,2420,1206,413,NA,thinned,1,13.31190063,45.91913412,3692,1845,0.219721027,CYTB,48,937,0.007617547,NA,NA,0.00684294,0.007617547,668,11354,3470,1279,0.112647525,-2.27204611,360.8,17269,8511,4749,0.275001448,-1.029021267
Rana boylii,Near Threatened (NT),nonLC,Anura,Ranidae,Rana,2,3,81,NA,200,980,1,2.5,2.5,larval,yes,NA,NA,permanent,aquatic,5,37,90,120,mid,no,no,no,1,0.182133719,0.000140587,0.034150036,0.023396873,3757,-2,849.417972,675.2052809,182,-13,107.9601651,34.9489842,271,59,180.3964123,36.54555311,123,-70,43.70885969,35.7118305,2545,64,1048.647802,435.1682612,417,15,187.8853798,72.87173769,32,0,7.013474819,5.964717312,101,50,75.73715681,9.138401045,1187,35,523.0666161,211.6575132,169,0,40.50530571,30.71411797,180,1,46.9397844,31.21652314,1108,34,499.3091629,196.1558951,193,72,140.1267475,18.62946248,65,38,47.47288193,4.498685135,7070,1850,5461.201617,1057.333169,376,135,281.3788951,45.15453159,57,-126,-13.1152097,35.14941264,381,132,294.4941048,44.84349014,126,-61,47.55061479,35.34399075,271,27,178.8773791,37.46109182,195244.8366,30.77448661,45.28528697,3755,1491,461,NA,thinned,1,14.51080036,38.02988679,3759,1877.5,0.181993132,CYTB,89,1026,0.005501526,NA,NA,0.005806693,0.005501526,648.6,13063,11827,7654,0.585929725,-0.104506637,390.8,18481,18678,12641,0.683999784,0.010659596
Rana cascadae,Near Threatened (NT),nonLC,Anura,Ranidae,Rana,2,4,76,7,300,800,1,2.8,2.8,larval,no,NA,NA,generalist_aquatic,aquatic,NA,NA,60,60,short,no,no,yes,1,0.208535731,0.000200013,0.039707938,0.026173384,3691,6,1063.046549,501.208834,170,-71,66.77842798,29.16983153,261,5,145.8378774,28.63686229,85,-126,-4.764330363,32.67811282,3335,175,1425.968746,725.5425677,553,29,232.555925,116.3632559,68,2,24.90331161,15.37620244,81,25,59.8369464,9.311122741,1509,75,663.8384094,334.6447582,239,18,108.3066897,56.28788727,290,18,116.2415215,63.27982232,1447,66,617.7373321,314.5332219,177,63,119.6386488,26.91151692,50,29,40.37451789,4.783909328,8757,3259,5977.938689,823.7883336,368,60,238.6832026,41.98251037,26,-165,-52.20587844,34.16032903,388,153,290.889081,44.65711865,89,-109,0.242452454,32.01697767,261,-4,144.5322516,29.04703035,113888.5251,39.87560937,49.00131042,1822,463,179,NA,thinned,1,9.12570105,44.4384599,3685,1848.5,0.208335718,CYTB,8,902,0.023296703,0.314564935,NA,0.022647631,0.023296703,653.6,9702,9710,4592,0.473304473,0.000824572,346,18104,38704,10616,0.586389748,1.137870084
Rana catesbeiana,Least Concern (LC),LC,Anura,Ranidae,Rana,1,5,183,16,4928,29377,1,1.7,2.5,larval,yes,8000,2580,permanent,aquatic,3,5,90,1095,long,no,no,yes,1,0.1660486,0,0.005123036,0.007349608,3827,-14,370.4195331,406.246542,262,-34,123.463202,51.95257669,315,63,230.0450382,36.63724986,226,-141,8.932899779,70.23464321,2226,199,978.1167351,310.2224658,468,37,117.6150878,30.26350064,154,3,49.89333886,26.6418788,96,6,30.04286295,17.99475324,1027,94,319.9147442,81.41273859,480,17,169.8324957,86.30364304,750,84,284.5670013,78.16190355,523,17,195.728312,115.8482755,194,59,127.5136503,17.08984918,60,22,34.51934019,6.006046965,12093,2430,8564.789166,1553.31444,390,146,306.409724,34.89872219,178,-224,-63.4561539,69.60779236,480,163,369.8658779,49.4028108,300,-65,181.0200696,64.92233846,287,-136,51.28913091,105.519712,4520962.557,20.05162195,48.45066305,26146,10602,1706,3000,thinned,1,28.3990411,34.2511425,3841,1906.5,0.1660486,CYTB,67,1143,0.010802141,0.1224,NA,0.012468828,0.010802141,462.4,200139,63125,33982,0.169791995,-2.170518812,239,256081,96463,69118,0.269906787,-1.654706986
Rana clamitans,Least Concern (LC),LC,Anura,Ranidae,Rana,2,2,108,10,265,5500,2,1.5,1.5,larval,no,4800,NA,permanent,aquatic,3,3,90,365,long,no,yes,yes,1,0.102965135,0,0.00499408,0.006557521,1670,-14,249.7128823,168.1993109,231,-17,100.1309532,58.37337182,288,109,212.4390867,40.83479247,181,-177,-22.85810427,80.78543009,2043,536,1079.839726,221.2800933,222,74,121.3656001,24.11193133,154,11,59.39164616,20.74531907,63,6,22.2904482,10.72117654,602,211,337.5921918,62.07695648,480,43,200.358186,65.0626286,602,170,305.7193454,57.13184604,523,43,232.6120975,96.30451675,150,59,119.7971437,11.89627817,51,19,31.77052961,6.081510213,13091,3640,9109.527987,1708.465864,362,161,286.1395205,38.45059006,119,-276,-93.30766881,82.93009362,511,205,379.4471893,52.58435705,278,-65,161.5903415,65.45287319,287,-177,32.88887933,119.4591322,3793119.093,27.20562872,50.59267799,26769,12976,1709,3000,thinned,1,23.38704927,38.89915336,1684,828,0.102965135,CYTB,65,924,0.012071382,0.223,22.2,0.011252389,0.012071382,497,147401,56344,27374,0.185711087,-1.616090444,303.4,213145,74561,59935,0.281193554,-1.858666059
Rana draytonii,Vulnerable (VU),nonLC,Anura,Ranidae,Rana,2,3,133,6,300,4000,NA,NA,NA,larval,yes,3600,NA,generalist_aquatic,aquatic,NA,NA,105,210,mid,no,no,no,1,0.199093699,0.000108524,0.02832035,0.02155896,2494,-88,549.6907371,437.5112964,231,52,145.0544074,23.56145638,325,125,212.5606325,29.52726459,145,-12,85.24028884,25.33028798,1634,60,603.5499253,329.1428914,312,9,117.0598855,63.82502599,17,0,1.499750996,1.32361667,104,11,83.22410359,8.738687752,832,23,318.0582669,169.2288201,59,0,11.66932271,9.208373247,143,1,21.17343127,16.85105601,832,23,309.8309263,169.2830033,194,77,145.8390189,18.86224912,65,39,50.81362052,5.524940226,8057,1800,5057.853088,1246.143846,420,202,307.2589641,39.39030634,89,-98,19.4127241,23.50612724,414,148,287.84624,48.35727955,156,1,89.42592131,25.80316362,286,-9,203.4627739,30.72728778,139418.7388,30.68967893,40.7588214,2125,956,269,NA,thinned,1,10.06914247,35.72425017,2582,1203,0.198985175,CYTB,46,1143,0.006753221,NA,NA,0.006953235,0.006753221,611,10720,15820,7493,0.698973881,0.475746269,362.2,15285,22817,11491,0.751782794,0.49277069
