Species,RoostCode,MaxCountInAnyYear,County,Region,Country
Common pipistrelle,3120108,72,Carmarthenshire,Wales,Wales
Common pipistrelle,5100059,72,Cheshire,North West,England
Common pipistrelle,2120159,72,Highland,Scotland,Scotland
Common pipistrelle,5101007,72,Hampshire,South East,England
Common pipistrelle,5100612,72,Surrey,South East,England
Common pipistrelle,1120022,72,Devon,South West,England
Common pipistrelle,1120017,71,Devon,South West,England
Common pipistrelle,1120018,71,Devon,South West,England
Common pipistrelle,1120537,71,Cornwall,South West,England
Common pipistrelle,1121185,71,Derbyshire,East Midlands,England
Common pipistrelle,1121071,71,Wiltshire,South West,England
Common pipistrelle,1120611,71,Hampshire,South East,England
Common pipistrelle,2120228,71,Dumfries and Galloway,Scotland,Scotland
Common pipistrelle,1120739,70,Leicestershire,East Midlands,England
Common pipistrelle,1120496,70,Devon,South West,England
Common pipistrelle,2120230,70,Falkirk,Scotland,Scotland
Common pipistrelle,3120040,70,Ceredigion,Wales,Wales
Common pipistrelle,1120062,70,Kent,South East,England
Common pipistrelle,5100513,68,Gloucestershire,South West,England
Common pipistrelle,1120621,68,Staffordshire,West Midlands,England
Common pipistrelle,5100702,68,West Midlands,West Midlands,England
Common pipistrelle,5100906,68,Norfolk,East of England,England
Common pipistrelle,5100907,68,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,1120804,68,York,Yorkshire and The Humber,England
Common pipistrelle,1120824,68,Lancashire,North West,England
Common pipistrelle,1121009,68,Wiltshire,South West,England
Common pipistrelle,1120449,67,Devon,South West,England
Common pipistrelle,5100940,67,Nottinghamshire,East Midlands,England
Common pipistrelle,1120249,67,Kent,South East,England
Common pipistrelle,1120243,67,West Berkshire,South East,England
Common pipistrelle,1121132,67,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120247,66,Kent,South East,England
Common pipistrelle,5100817,66,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,5100115,66,Highland,Scotland,Scotland
Common pipistrelle,3120074,66,Neath Port Talbot,Wales,Wales
Common pipistrelle,1120688,66,East Riding of Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1121113,66,Rutland,East Midlands,England
Common pipistrelle,5100747,65,Nottinghamshire,East Midlands,England
Common pipistrelle,5100617,65,Scottish Borders,Scotland,Scotland
Common pipistrelle,1090052,65,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100937,64,Nottinghamshire,East Midlands,England
Common pipistrelle,1120812,64,Nottinghamshire,East Midlands,England
Common pipistrelle,5100120,64,Lancashire,North West,England
Common pipistrelle,2120196,63,Dumfries and Galloway,Scotland,Scotland
Common pipistrelle,1120092,63,Somerset,South West,England
Common pipistrelle,1121275,63,Oxfordshire,South East,England
Common pipistrelle,5101135,62,Channel Islands,Channel Islands,British Crown Dependencies
Common pipistrelle,5100567,62,Oxfordshire,South East,England
Common pipistrelle,1120079,61,Norfolk,East of England,England
Common pipistrelle,1121274,61,North Lincolnshire,Yorkshire and The Humber,England
Common pipistrelle,5100129,61,Cheshire,North West,England
Common pipistrelle,1120027,60,Devon,South West,England
Common pipistrelle,1120632,60,Buckinghamshire,South East,England
Common pipistrelle,1120642,60,East Sussex,South East,England
Common pipistrelle,5100402,60,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,2120139,60,Highland,Scotland,Scotland
Common pipistrelle,1120183,60,Derbyshire,East Midlands,England
Common pipistrelle,1120155,59,Isle of Wight,South East,England
Common pipistrelle,5100438,59,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100437,59,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1121172,59,Cornwall,South West,England
Common pipistrelle,1120329,59,Herefordshire,West Midlands,England
Common pipistrelle,5100116,59,Lincolnshire,East Midlands,England
Common pipistrelle,5100825,59,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,5100784,58,Greater London,London,England
Common pipistrelle,1121148,58,Tyne and Wear,North East,England
Common pipistrelle,1120049,58,Isle of Wight,South East,England
Common pipistrelle,5100816,58,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,1120510,57,Leicestershire,East Midlands,England
Common pipistrelle,1121139,57,Northamptonshire,East Midlands,England
Common pipistrelle,5100081,56,Wiltshire,South West,England
Common pipistrelle,5100181,56,Derbyshire,East Midlands,England
Common pipistrelle,1120767,56,Wiltshire,South West,England
Common pipistrelle,1121070,56,Suffolk,East of England,England
Common pipistrelle,2120035,56,Perth and Kinross,Scotland,Scotland
Common pipistrelle,2120138,56,Falkirk,Scotland,Scotland
Common pipistrelle,1120666,56,Worcestershire,West Midlands,England
Common pipistrelle,5100210,56,Nottinghamshire,East Midlands,England
Common pipistrelle,2120087,56,Highland,Scotland,Scotland
Common pipistrelle,1120182,55,Northamptonshire,East Midlands,England
Common pipistrelle,1121267,55,Lincolnshire,East Midlands,England
Common pipistrelle,5100258,55,Lancashire,North West,England
Common pipistrelle,5100080,55,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100334,54,Kent,South East,England
Common pipistrelle,2120062,54,Scottish Borders,Scotland,Scotland
Common pipistrelle,1120006,54,Cornwall,South West,England
Common pipistrelle,1121083,54,Kent,South East,England
Common pipistrelle,1121207,54,Cheshire,North West,England
Common pipistrelle,1120181,53,West Sussex,South East,England
Common pipistrelle,5100025,53,Cambridgeshire,East of England,England
Common pipistrelle,1120363,53,Buckinghamshire,South East,England
Common pipistrelle,1120810,53,Cornwall,South West,England
Common pipistrelle,1121197,52,Lincolnshire,East Midlands,England
Common pipistrelle,2120056,52,Highland,Scotland,Scotland
Common pipistrelle,1120139,52,East Riding of Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1121158,52,Oxfordshire,South East,England
Common pipistrelle,5100903,52,Isles of Scilly,South West,England
Common pipistrelle,1121159,52,Leicestershire,East Midlands,England
Common pipistrelle,1120470,51,Bedfordshire,East of England,England
Common pipistrelle,1120119,51,Kent,South East,England
Common pipistrelle,5100135,51,Isle of Anglesey,Wales,Wales
Common pipistrelle,5101136,51,Channel Islands,Channel Islands,British Crown Dependencies
Common pipistrelle,5101080,51,Highland,Scotland,Scotland
Common pipistrelle,1120201,51,Cornwall,South West,England
Common pipistrelle,1120841,50,Worcestershire,West Midlands,England
Common pipistrelle,1120647,50,Wiltshire,South West,England
Common pipistrelle,2120038,50,Aberdeenshire,Scotland,Scotland
Common pipistrelle,5101072,50,Hampshire,South East,England
Common pipistrelle,1120248,49,Kent,South East,England
Common pipistrelle,1120082,49,Northamptonshire,East Midlands,England
Common pipistrelle,1121223,49,Gloucestershire,South West,England
Common pipistrelle,5100734,48,Northumberland,North East,England
Common pipistrelle,5100629,48,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,5100727,48,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,3120052,48,Powys,Wales,Wales
Common pipistrelle,1120797,48,Somerset,South West,England
Common pipistrelle,5100097,47,Cardiff,Wales,Wales
Common pipistrelle,1121028,47,Essex,East of England,England
Common pipistrelle,2120178,47,Scottish Borders,Scotland,Scotland
Common pipistrelle,1120331,47,Kent,South East,England
Common pipistrelle,1120653,47,Warwickshire,West Midlands,England
Common pipistrelle,1120064,47,Kent,South East,England
Common pipistrelle,1120727,46,Bedfordshire,East of England,England
Common pipistrelle,2120255,46,South Ayrshire,Scotland,Scotland
Common pipistrelle,1120327,46,Norfolk,East of England,England
Common pipistrelle,1121208,45,Worcestershire,West Midlands,England
Common pipistrelle,1120175,45,Northamptonshire,East Midlands,England
Common pipistrelle,1120220,44,Kent,South East,England
Common pipistrelle,1120823,44,Herefordshire,West Midlands,England
Common pipistrelle,5100422,44,Cornwall,South West,England
Common pipistrelle,2120137,43,Falkirk,Scotland,Scotland
Common pipistrelle,5100689,43,Staffordshire,West Midlands,England
Common pipistrelle,1120533,43,Essex,East of England,England
Common pipistrelle,1120046,42,Hertfordshire,East of England,England
Common pipistrelle,5100794,42,Greater Manchester,North West,England
Common pipistrelle,5100040,42,Scottish Borders,Scotland,Scotland
Common pipistrelle,1120014,42,Derbyshire,East Midlands,England
Common pipistrelle,2120262,41,Highland,Scotland,Scotland
Common pipistrelle,5100914,41,Northamptonshire,East Midlands,England
Common pipistrelle,2120197,41,Scottish Borders,Scotland,Scotland
Common pipistrelle,2120170,41,Argyll and Bute,Scotland,Scotland
Common pipistrelle,1120646,41,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1121186,41,South Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120197,39,Cumbria,North West,England
Common pipistrelle,5100015,38,Dorset,South West,England
Common pipistrelle,1121191,38,Herefordshire,West Midlands,England
Common pipistrelle,5100061,38,South Ayrshire,Scotland,Scotland
Common pipistrelle,1121166,37,Devon,South West,England
Common pipistrelle,5100519,37,Surrey,South East,England
Common pipistrelle,1121112,36,Leicestershire,East Midlands,England
Common pipistrelle,1120660,36,Norfolk,East of England,England
Common pipistrelle,5100970,36,Derbyshire,East Midlands,England
Common pipistrelle,1120827,36,Northamptonshire,East Midlands,England
Common pipistrelle,5100083,34,Cornwall,South West,England
Common pipistrelle,1120816,34,Lincolnshire,East Midlands,England
Common pipistrelle,1120375,34,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100776,34,Suffolk,East of England,England
Common pipistrelle,2120177,34,Highland,Scotland,Scotland
Common pipistrelle,3120111,34,Carmarthenshire,Wales,Wales
Common pipistrelle,1120545,34,Milton Keynes,South East,England
Common pipistrelle,1120557,33,Bedfordshire,East of England,England
Common pipistrelle,2120132,33,Scottish Borders,Scotland,Scotland
Common pipistrelle,3120063,33,Powys,Wales,Wales
Common pipistrelle,1120886,33,Lincolnshire,East Midlands,England
Common pipistrelle,5101131,32,Channel Islands,Channel Islands,British Crown Dependencies
Common pipistrelle,1120216,32,Essex,East of England,England
Common pipistrelle,1120312,31,Lancashire,North West,England
Common pipistrelle,4120035,31,Omagh,Northern Ireland,Northern Ireland
Common pipistrelle,1120952,31,Kent,South East,England
Common pipistrelle,5100681,31,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100540,31,Leicestershire,East Midlands,England
Common pipistrelle,2120068,30,Highland,Scotland,Scotland
Common pipistrelle,2120094,30,Highland,Scotland,Scotland
Common pipistrelle,1120500,30,Staffordshire,West Midlands,England
Common pipistrelle,5100453,29,West Berkshire,South East,England
Common pipistrelle,1121222,29,Norfolk,East of England,England
Common pipistrelle,1121161,28,County Durham,North East,England
Common pipistrelle,5100551,28,Herefordshire,West Midlands,England
Common pipistrelle,1121232,27,County Durham,North East,England
Common pipistrelle,1120552,27,Kent,South East,England
Common pipistrelle,1121024,26,East Sussex,South East,England
Common pipistrelle,5100021,26,Perth and Kinross,Scotland,Scotland
Common pipistrelle,1120042,26,Herefordshire,West Midlands,England
Common pipistrelle,5100633,26,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,5100691,26,Surrey,South East,England
Common pipistrelle,3120001,26,Denbighshire,Wales,Wales
Common pipistrelle,1120590,26,Bath and North East Somerset,South West,England
Common pipistrelle,2120244,25,Midlothian,Scotland,Scotland
Common pipistrelle,5100125,25,Cornwall,South West,England
Common pipistrelle,5100721,24,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,1120764,24,Surrey,South East,England
Common pipistrelle,5100795,24,Lincolnshire,East Midlands,England
Common pipistrelle,1121190,24,Cumbria,North West,England
Common pipistrelle,1120121,24,Surrey,South East,England
Common pipistrelle,1121221,23,Devon,South West,England
Common pipistrelle,2120140,22,Highland,Scotland,Scotland
Common pipistrelle,1120694,22,Wiltshire,South West,England
Common pipistrelle,3120070,22,Monmouthshire,Wales,Wales
Common pipistrelle,5100031,21,Swansea,Wales,Wales
Common pipistrelle,1121226,21,Devon,South West,England
Common pipistrelle,5101087,20,Dorset,South West,England
Common pipistrelle,5100898,20,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1121107,19,Lancashire,North West,England
Common pipistrelle,1120333,19,Oxfordshire,South East,England
Common pipistrelle,1121235,19,Lancashire,North West,England
Common pipistrelle,1120410,19,Essex,East of England,England
Common pipistrelle,1120840,18,Hampshire,South East,England
Common pipistrelle,1120406,18,South Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100815,18,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,5100750,18,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,5100510,18,Greater London,London,England
Common pipistrelle,5100432,18,North Lincolnshire,Yorkshire and The Humber,England
Common pipistrelle,5100477,18,Lincolnshire,East Midlands,England
Common pipistrelle,5100728,18,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,1120152,17,Wiltshire,South West,England
Common pipistrelle,1120763,17,Shropshire,West Midlands,England
Common pipistrelle,1120675,17,West Sussex,South East,England
Common pipistrelle,2120210,17,Highland,Scotland,Scotland
Common pipistrelle,5100418,17,Cumbria,North West,England
Common pipistrelle,1120451,16,Somerset,South West,England
Common pipistrelle,5100370,16,Cornwall,South West,England
Common pipistrelle,1121233,16,Derbyshire,East Midlands,England
Common pipistrelle,3120019,15,Denbighshire,Wales,Wales
Common pipistrelle,1120385,15,Essex,East of England,England
Common pipistrelle,5100857,15,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120039,15,Greater Manchester,North West,England
Common pipistrelle,5100014,15,County Durham,North East,England
Common pipistrelle,5100949,14,Bath and North East Somerset,South West,England
Common pipistrelle,5100489,14,Devon,South West,England
Common pipistrelle,1120600,14,Cumbria,North West,England
Common pipistrelle,2120157,14,Fife,Scotland,Scotland
Common pipistrelle,5100106,14,North Lincolnshire,Yorkshire and The Humber,England
Common pipistrelle,1120407,14,West Sussex,South East,England
Common pipistrelle,1120291,14,Herefordshire,West Midlands,England
Common pipistrelle,5100108,13,Kent,South East,England
Common pipistrelle,5100006,13,Worcestershire,West Midlands,England
Common pipistrelle,1120584,13,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,2120217,12,Perth and Kinross,Scotland,Scotland
Common pipistrelle,3120104,12,Caerphilly,Wales,Wales
Common pipistrelle,5100722,12,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,3120006,12,Powys,Wales,Wales
Common pipistrelle,5100159,12,Herefordshire,West Midlands,England
Common pipistrelle,1120516,11,Devon,South West,England
Common pipistrelle,1121143,11,Lancashire,North West,England
Common pipistrelle,5100741,11,Surrey,South East,England
Common pipistrelle,3120132,10,Powys,Wales,Wales
Common pipistrelle,1120443,10,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100562,9,Cumbria,North West,England
Common pipistrelle,1120103,9,West Sussex,South East,England
Common pipistrelle,5100469,9,Kent,South East,England
Common pipistrelle,1120376,8,East Riding of Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120753,8,Devon,South West,England
Common pipistrelle,1120681,8,Norfolk,East of England,England
Common pipistrelle,5100844,8,Tyne and Wear,North East,England
Common pipistrelle,2120144,8,Highland,Scotland,Scotland
Common pipistrelle,5100962,7,Derbyshire,East Midlands,England
Common pipistrelle,5100999,7,Powys,Wales,Wales
Common pipistrelle,1121268,7,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120454,7,Bedfordshire,East of England,England
Common pipistrelle,1121098,7,West Sussex,South East,England
Common pipistrelle,1120667,7,Herefordshire,West Midlands,England
Common pipistrelle,1121032,6,Cambridgeshire,East of England,England
Common pipistrelle,1120512,6,Devon,South West,England
Common pipistrelle,5100705,6,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1121060,6,Isles of Scilly,South West,England
Common pipistrelle,1120780,6,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120576,6,West Berkshire,South East,England
Common pipistrelle,3120072,6,Powys,Wales,Wales
Common pipistrelle,1120605,6,East Riding of Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100615,6,Powys,Wales,Wales
Common pipistrelle,3120009,5,Blaenau Gwent,Wales,Wales
Common pipistrelle,5100374,5,Greater London,London,England
Common pipistrelle,5100114,5,North Lincolnshire,Yorkshire and The Humber,England
Common pipistrelle,5100767,5,Aberdeenshire,Scotland,Scotland
Common pipistrelle,3120112,5,Rhondda Cynon Taff,Wales,Wales
Common pipistrelle,1120628,4,Herefordshire,West Midlands,England
Common pipistrelle,1120242,4,Greater London,London,England
Common pipistrelle,1121079,4,Herefordshire,West Midlands,England
Common pipistrelle,3120123,4,Swansea,Wales,Wales
Common pipistrelle,1121227,4,Nottinghamshire,East Midlands,England
Common pipistrelle,1121038,4,Worcestershire,West Midlands,England
Common pipistrelle,5100039,3,Lancashire,North West,England
Common pipistrelle,1120198,3,Cumbria,North West,England
Common pipistrelle,5100598,3,Down,Northern Ireland,Northern Ireland
Common pipistrelle,1120795,3,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120735,3,Cheshire,North West,England
Common pipistrelle,1120801,3,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5101110,2,Windsor and Maidenhead,South East,England
Common pipistrelle,3120125,2,Monmouthshire,Wales,Wales
Common pipistrelle,1120852,2,Suffolk,East of England,England
Common pipistrelle,1120230,2,Leicestershire,East Midlands,England
Common pipistrelle,3120039,2,The Vale of Glamorgan,Wales,Wales
Common pipistrelle,2120242,2,Orkney Islands,Scotland,Scotland
Common pipistrelle,5100235,2,Devon,South West,England
Common pipistrelle,3120071,2,Rhondda Cynon Taff,Wales,Wales
Common pipistrelle,5100742,2,Surrey,South East,England
Common pipistrelle,5100471,2,Hertfordshire,East of England,England
Common pipistrelle,1120644,2,Worcestershire,West Midlands,England
Common pipistrelle,5100502,2,Isles of Scilly,South West,England
Common pipistrelle,1120722,1,Cumbria,North West,England
Common pipistrelle,1120674,1,Surrey,South East,England
Common pipistrelle,5100842,1,Somerset,South West,England
Common pipistrelle,5100385,1,Surrey,South East,England
Common pipistrelle,5100822,1,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,5100490,1,Greater London,London,England
Daubenton's bat,5100034,369,East Sussex,South East,England
Daubenton's bat,1070005,360,Derbyshire,East Midlands,England
Daubenton's bat,1070008,304,South Yorkshire,Yorkshire and The Humber,England
Daubenton's bat,1070004,175,Lincolnshire,East Midlands,England
Daubenton's bat,1070014,144,Warwickshire,West Midlands,England
Daubenton's bat,1070002,119,Lincolnshire,East Midlands,England
Daubenton's bat,1070001,92,Devon,South West,England
Daubenton's bat,5100834,87,Cumbria,North West,England
Daubenton's bat,5100891,72,Leicestershire,East Midlands,England
Daubenton's bat,1070013,72,Cornwall,South West,England
Daubenton's bat,5100303,66,North Lincolnshire,Yorkshire and The Humber,England
Daubenton's bat,1070011,56,Cornwall,South West,England
Daubenton's bat,2070001,55,Renfrewshire,Scotland,Scotland
Daubenton's bat,1070009,55,East Riding of Yorkshire,Yorkshire and The Humber,England
Daubenton's bat,1070006,51,Leicestershire,East Midlands,England
Daubenton's bat,1070003,46,Derbyshire,East Midlands,England
Daubenton's bat,1070007,16,South Yorkshire,Yorkshire and The Humber,England
Daubenton's bat,5100475,12,Shropshire,West Midlands,England
Daubenton's bat,5100987,6,Greater London,London,England
Daubenton's bat,1070012,5,Devon,South West,England
Greater horseshoe bat,1160011,2466,Devon,South West,England
Greater horseshoe bat,3160004,1152,Pembrokeshire,Wales,Wales
Greater horseshoe bat,3160002,950,Pembrokeshire,Wales,Wales
Greater horseshoe bat,1160012,891,Devon,South West,England
Greater horseshoe bat,1160013,742,Somerset,South West,England
Greater horseshoe bat,5100901,692,Cornwall,South West,England
Greater horseshoe bat,1160007,674,Gloucestershire,South West,England
Greater horseshoe bat,1160010,660,Dorset,South West,England
Greater horseshoe bat,3160005,595,Pembrokeshire,Wales,Wales
Greater horseshoe bat,1160005,573,Cornwall,South West,England
Greater horseshoe bat,1160008,527,Devon,South West,England
Greater horseshoe bat,1160015,509,Devon,South West,England
Greater horseshoe bat,1160016,428,Wiltshire,South West,England
Greater horseshoe bat,1160019,379,Cornwall,South West,England
Greater horseshoe bat,1160017,367,Devon,South West,England
Greater horseshoe bat,3160003,330,Monmouthshire,Wales,Wales
Greater horseshoe bat,5100255,280,Somerset,South West,England
Greater horseshoe bat,1160020,261,Devon,South West,England
Greater horseshoe bat,1160009,255,Dorset,South West,England
Greater horseshoe bat,3160001,207,Caerphilly,Wales,Wales
Greater horseshoe bat,1160003,204,Gloucestershire,South West,England
Greater horseshoe bat,5100435,166,Cornwall,South West,England
Greater horseshoe bat,1160014,154,Somerset,South West,England
Greater horseshoe bat,5100152,150,Bath and North East Somerset,South West,England
Greater horseshoe bat,1160002,150,Wiltshire,South West,England
Greater horseshoe bat,5100263,146,Somerset,South West,England
Greater horseshoe bat,5100549,137,Cornwall,South West,England
Greater horseshoe bat,1160018,130,Devon,South West,England
Greater horseshoe bat,1160004,125,Bath and North East Somerset,South West,England
Greater horseshoe bat,1160021,115,Somerset,South West,England
Greater horseshoe bat,1160006,115,Devon,South West,England
Greater horseshoe bat,5100256,100,Somerset,South West,England
Greater horseshoe bat,5100454,73,Somerset,South West,England
Greater horseshoe bat,5101095,19,Cornwall,South West,England
Greater horseshoe bat,5100805,16,Wiltshire,South West,England
Greater horseshoe bat,1160001,14,Cornwall,South West,England
Greater horseshoe bat,1160022,12,Shropshire,West Midlands,England
Greater horseshoe bat,5100735,10,West Sussex,South East,England
Greater horseshoe bat,5100350,9,Devon,South West,England
Greater horseshoe bat,5100026,8,Devon,South West,England
Greater horseshoe bat,1160026,7,Devon,South West,England
Greater horseshoe bat,5100246,6,Devon,South West,England
Greater horseshoe bat,5100320,5,Cornwall,South West,England
Greater horseshoe bat,1160024,4,Devon,South West,England
Greater horseshoe bat,1160023,3,Devon,South West,England
Greater horseshoe bat,5100799,3,Gloucestershire,South West,England
Greater horseshoe bat,5100998,1,Windsor and Maidenhead,South East,England
Grey long-eared bat,5100043,34,Devon,South West,England
Grey long-eared bat,5100433,8,Devon,South West,England
Grey long-eared bat,5100740,6,Devon,South West,England
Grey long-eared bat,5100084,6,Isle of Wight,South East,England
Grey long-eared bat,5100521,2,Dorset,South West,England
Grey long-eared bat,5100739,2,Devon,South West,England
Grey long-eared bat,5100085,1,Isle of Wight,South East,England
Leisler's bat,4100001,191,Down,Northern Ireland,Northern Ireland
Leisler's bat,1100001,130,City of Bristol,South West,England
Leisler's bat,5100353,113,Fermanagh,Northern Ireland,Northern Ireland
Leisler's bat,5100631,108,Isle of Man,Isle of Man,British Crown Dependencies
Leisler's bat,5100564,89,Armagh,Northern Ireland,Northern Ireland
Leisler's bat,5101093,85,Down,Northern Ireland,Northern Ireland
Leisler's bat,5100701,80,Antrim,Northern Ireland,Northern Ireland
Leisler's bat,5100632,64,Isle of Man,Isle of Man,British Crown Dependencies
Leisler's bat,5100237,49,Hertfordshire,East of England,England
Leisler's bat,1100002,47,Hertfordshire,East of England,England
Leisler's bat,5100723,11,Isle of Man,Isle of Man,British Crown Dependencies
Leisler's bat,5101104,6,Isle of Man,Isle of Man,British Crown Dependencies
Leisler's bat,5100599,5,Down,Northern Ireland,Northern Ireland
Lesser horseshoe bat,3170026,1360,Powys,Wales,Wales
Lesser horseshoe bat,3170151,1082,Monmouthshire,Wales,Wales
Lesser horseshoe bat,1170112,848,Worcestershire,West Midlands,England
Lesser horseshoe bat,3170103,748,Powys,Wales,Wales
Lesser horseshoe bat,1170070,692,Herefordshire,West Midlands,England
Lesser horseshoe bat,3170056,680,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170078,659,Conwy,Wales,Wales
Lesser horseshoe bat,1170043,613,Gloucestershire,South West,England
Lesser horseshoe bat,3170074,612,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170098,594,Swansea,Wales,Wales
Lesser horseshoe bat,1170121,592,Gloucestershire,South West,England
Lesser horseshoe bat,3170027,591,Powys,Wales,Wales
Lesser horseshoe bat,1170044,576,Gloucestershire,South West,England
Lesser horseshoe bat,1170026,574,Gloucestershire,South West,England
Lesser horseshoe bat,3170110,551,Gwynedd,Wales,Wales
Lesser horseshoe bat,1170038,536,Gloucestershire,South West,England
Lesser horseshoe bat,3170049,518,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170060,484,Conwy,Wales,Wales
Lesser horseshoe bat,3170011,468,Monmouthshire,Wales,Wales
Lesser horseshoe bat,1170012,461,Somerset,South West,England
Lesser horseshoe bat,3170080,454,Powys,Wales,Wales
Lesser horseshoe bat,3170172,452,Rhondda Cynon Taff,Wales,Wales
Lesser horseshoe bat,3170013,450,Monmouthshire,Wales,Wales
Lesser horseshoe bat,3170146,442,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170161,439,Monmouthshire,Wales,Wales
Lesser horseshoe bat,3170041,431,Powys,Wales,Wales
Lesser horseshoe bat,1170088,424,Herefordshire,West Midlands,England
Lesser horseshoe bat,1170098,419,Cornwall,South West,England
Lesser horseshoe bat,3170004,416,Monmouthshire,Wales,Wales
Lesser horseshoe bat,1170136,414,Somerset,South West,England
Lesser horseshoe bat,3170175,404,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170121,394,Powys,Wales,Wales
Lesser horseshoe bat,1170049,394,Gloucestershire,South West,England
Lesser horseshoe bat,3170200,392,Gwynedd,Wales,Wales
Lesser horseshoe bat,1170048,386,Gloucestershire,South West,England
Lesser horseshoe bat,3170076,381,Denbighshire,Wales,Wales
Lesser horseshoe bat,1170128,378,Devon,South West,England
Lesser horseshoe bat,3170002,374,Monmouthshire,Wales,Wales
Lesser horseshoe bat,5100002,361,Denbighshire,Wales,Wales
Lesser horseshoe bat,3170107,354,Powys,Wales,Wales
Lesser horseshoe bat,3170052,354,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170047,346,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170116,342,Denbighshire,Wales,Wales
Lesser horseshoe bat,3170199,339,Conwy,Wales,Wales
Lesser horseshoe bat,3170119,338,Monmouthshire,Wales,Wales
Lesser horseshoe bat,3170167,333,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170112,332,Gwynedd,Wales,Wales
Lesser horseshoe bat,1170078,328,Gloucestershire,South West,England
Lesser horseshoe bat,1170058,325,Devon,South West,England
Lesser horseshoe bat,3170105,314,Powys,Wales,Wales
Lesser horseshoe bat,3170108,304,Powys,Wales,Wales
Lesser horseshoe bat,3170006,303,Monmouthshire,Wales,Wales
Lesser horseshoe bat,1170104,301,North Somerset,South West,England
Lesser horseshoe bat,3170069,298,Conwy,Wales,Wales
Lesser horseshoe bat,1170034,298,Gloucestershire,South West,England
Lesser horseshoe bat,1170141,293,Devon,South West,England
Lesser horseshoe bat,3170086,292,Denbighshire,Wales,Wales
Lesser horseshoe bat,3170100,292,Swansea,Wales,Wales
Lesser horseshoe bat,3170138,290,Powys,Wales,Wales
Lesser horseshoe bat,3170043,288,Powys,Wales,Wales
Lesser horseshoe bat,3170111,286,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170090,284,Monmouthshire,Wales,Wales
Lesser horseshoe bat,1170089,283,Herefordshire,West Midlands,England
Lesser horseshoe bat,1170061,281,Devon,South West,England
Lesser horseshoe bat,3170042,281,Powys,Wales,Wales
Lesser horseshoe bat,3170117,280,Conwy,Wales,Wales
Lesser horseshoe bat,3170208,278,Powys,Wales,Wales
Lesser horseshoe bat,3170065,271,Conwy,Wales,Wales
Lesser horseshoe bat,5101121,271,Conwy,Wales,Wales
Lesser horseshoe bat,3170079,270,Conwy,Wales,Wales
Lesser horseshoe bat,1170133,270,Shropshire,West Midlands,England
Lesser horseshoe bat,3170164,268,Powys,Wales,Wales
Lesser horseshoe bat,3170073,266,Gwynedd,Wales,Wales
Lesser horseshoe bat,3170007,264,Monmouthshire,Wales,Wales
Lesser horseshoe bat,3170156,262,Powys,Wales,Wales
