Species,RoostCode,MaxCountInAnyYear,County,Region,Country
Pipistrelle species,1121263,2,Buckinghamshire,South East,England
Pipistrelle species,5100719,2,Oxfordshire,South East,England
Pipistrelle species,5100715,2,Staffordshire,West Midlands,England
Pipistrelle species,2120117,2,Highland,Scotland,Scotland
Pipistrelle species,5100543,2,West Dunbartonshire,Scotland,Scotland
Pipistrelle species,1121001,2,Isle of Wight,South East,England
Pipistrelle species,1120691,2,Gloucestershire,South West,England
Pipistrelle species,1120515,2,York,Yorkshire and The Humber,England
Pipistrelle species,4120023,1,Strabane,Northern Ireland,Northern Ireland
Pipistrelle species,3120109,1,Bridgend,Wales,Wales
Pipistrelle species,1120212,1,Hampshire,South East,England
Pipistrelle species,3120065,1,Torfaen,Wales,Wales
Pipistrelle species,2120243,1,Orkney Islands,Scotland,Scotland
Pipistrelle species,2120114,1,Highland,Scotland,Scotland
Pipistrelle species,1121231,1,Warrington,North West,England
Pipistrelle species,1121120,1,Buckinghamshire,South East,England
Pipistrelle species,1120317,1,Cheshire,North West,England
Pipistrelle species,1120326,1,Hampshire,South East,England
Pipistrelle species,1120963,1,Oxfordshire,South East,England
Pipistrelle species,1120917,1,Hampshire,South East,England
Pipistrelle species,1120789,1,Gloucestershire,South West,England
Pipistrelle species,1120441,1,Cambridgeshire,East of England,England
Pipistrelle species,1120571,1,Northumberland,North East,England
Pipistrelle species,1120078,1,Norfolk,East of England,England
Serotine,1030083,295,Somerset,South West,England
Serotine,5100787,255,Wiltshire,South West,England
Serotine,1030116,200,Hampshire,South East,England
Serotine,1030131,176,Bath and North East Somerset,South West,England
Serotine,5100126,168,Somerset,South West,England
Serotine,5100231,168,Dorset,South West,England
Serotine,1030006,137,Somerset,South West,England
Serotine,1030132,127,Oxfordshire,South East,England
Serotine,1030117,82,Dorset,South West,England
Serotine,1030110,75,Surrey,South East,England
Serotine,3030001,72,The Vale of Glamorgan,Wales,Wales
Serotine,1030055,72,Somerset,South West,England
Serotine,5101067,70,Cardiff,Wales,Wales
Serotine,1030013,67,Kent,South East,England
Serotine,1030004,66,Isle of Wight,South East,England
Serotine,1030005,64,Isle of Wight,South East,England
Serotine,5100077,63,Wiltshire,South West,England
Serotine,1030127,62,Isle of Wight,South East,England
Serotine,1030041,62,Somerset,South West,England
Serotine,1030062,60,Hampshire,South East,England
